,Locked mode shot #,RF beginning time [s],RF ending time [s],RF power [MW],THACO run on He-like?,THACO run on H-like?,"Density [1e19 m^-3] (t_beg, t_end)","Electron temp [keV] (t_beg, t_end)",Plasma current [MA],Magnetic field [T],H/D ratio,Anything interesting?,Max W_MHD (kJ),T_E,Z-Int Initial,Z-Int Final,Δ Brightness
24,,0.6,1.5,1,No,No,"15 (0.6, 1.5)",Error,0.9,5.4,0.45-0.5,,37,0.02,9000,3700,0.5888888889
25,,0.6,1.5,1,No,No,"15.5 (0.7, 1.4)",Error,0.9,5.4,0.43-0.48,,36,0.02,8700,3500,0.5977011494
26,,0.6,1.5,1,No,No,"15-16 (0.6, 1.4)",Error,0.9,5.4,0.45-0.5,,36,0.019,9000,3900,0.5666666667
27,,0.6,1.5,1,No,No,"15.5 (0.7, 1.4)",Error,0.9,5.4,0.42-0.5,,40,0.016,8500,3800,0.5529411765
28,,0.6,1.5,1,No,No,"15-16 (0.8, 1.4)",Error,0.9,5.4,0.44-0.5,,39,0.02,8800,3700,0.5795454545
29,,0.6,1.5,1,No,No,"15-16 (0.6, 1.4)",Error,0.9,5.4,0.45-0.5,,39,0.021,9000,3700,0.5888888889
30,,0.6,1.5,1,No,No,"15-16 (0.6, 1.4)",Error,0.9,5.4,0.5,,38,0.2,8800,3700,0.5795454545
,,,,,,,,,,,,,,,,,
11405090 (no pumpout),,,,,,,,,,,,,,,,,
11,,,,,No,No,,,,,,,,,,,
16,,,,,No,No,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11604200,013 locked mode,,,,,,,,,,,,,,,,
08,,0.8,1.3,2.6,No,No,"18.5 (0.9, 1.45)",Error,1,5.5,0.1-0.15,Long pumpout timescale,65,0.04,1200,650,0.4583333333
12,,0.8,1.3,2.6,No,No,"18 (0.8, 1.5)",Error,1,5.5,0.1-0.3,Long timescale (Could be that didn't reach steady state),64,0.034,1300,700,0.4615384615
14,,0.8,1.3,2.6,No,No,"17.5 (0.8, 1.5)",Error,1,5.5,0.1-0.15,^,60,0.035,1700,800,0.5294117647
20,,0.8,1.3,2.6,No,No,"19 (1, 1.5)",Error,1,5.5,0.1-0.2,,55,0.03,1275,700,0.4509803922
22,,0.8,1.3,2.6,No,No,"17-19 (1, 1.5)",Error,1,5.5,0.2,,59,0.03,1300,700,0.4615384615
24,,0.8,1.3,2.6,No,No,"18-20 (0.8, 1.5)",Error,1,5.5,0.2,Returns close to previous level after pumpout,56,0.03,1260,650,0.4841269841
,,,,,,,,,,,,,,,,,
